,genes
1118,Mb21d2
1119,Pmepa1
1120,Myh14
1121,Scgn
1122,Cdca7
1123,Hspa2
1124,Efnb2
1125,Dact2
1126,Syt16
1127,Crlf1
1128,Zfp57
1129,Cacna1g
1130,8030453O22Rik
1131,Stmn1-rs2
1132,Samd3
1133,Popdc3
1134,Prr13
1135,Gpr125
1136,Lor
1137,Oprd1
1138,Mical2
1139,Stard5
1140,Metrnl
1141,Cacna1h
1142,Ch25h
1143,5730522E02Rik
1144,Scn7a
1145,Prr16
1146,Gabrg1
1147,Ppp2r5a
1148,Dock4
1149,Plxna2
1150,Sptb
1151,Alk
1152,Chrna7
1153,Gpr133
1154,Dgki
1155,Pfkfb3
1156,Dusp7
1157,Tmem178
1158,Crhr2
1159,Mitf
1160,C630043F03Rik
1161,Npy5r
1162,Hyi
1163,Nmnat2
1164,3300002P13Rik
1165,Gng4
1166,Syt12
1167,Tmem74
1168,Gabra4
1169,Vax1
1170,6330403K07Rik
1171,Cdyl2
1172,Slc10a4
1173,Glce
1174,Vstm5
1175,Zdhhc14
1176,Trhr
1177,Arhgef3
1178,Gabrg3
1179,Rgs7
1180,LOC105246811
1181,Kcna3
1182,Gria1
1183,Tmem53
1184,D830030K20Rik
1185,Dlgap2
1186,Gng2
1187,Spry2
1188,Itga4
1189,Ptprf
1190,Tspan33
1191,Unc5a
1192,Ankrd29
1193,Igsf9b
1194,Shd
1195,D430041D05Rik
1196,Sorl1
1197,Agbl4
1198,Foxo1
1199,Gpr123
1200,Adamts8
1201,Sez6l
1202,Tmtc1
1203,Sh2d7
1204,Lrrc3b
1205,Nek6
1206,Apbb2
1207,Obfc1
1208,B4galt6
1209,Wnt2
1210,Apitd1
1211,Kcnj6
1212,4930447M23Rik
1213,Gabrb1
1214,Zfp385b
1215,Dbp
1216,Sftpc
1217,Csmd1
1218,March11
1219,Ntsr1
1220,Brms1
1221,Nptxr
1222,LOC105244192
1223,Osbpl3
1224,Dlk2
1225,Glcci1
1226,LOC105244162
1227,Asic2
1228,Chrd
1229,LOC105244000
1230,Anxa11
1231,Slc24a2
1232,Vamp1
1233,Sln
1234,Nbn
1235,Cd164l2
1236,Thrb
1237,Pde7b
1238,Epb4.1
1239,Grhl1
1240,Slc8a1
1241,Bace2
1242,Adrb1
1243,Chst1
1244,Trps1
1245,2610100L16Rik
1246,Gnaz
1247,Pth2r
1248,Ier5l
1249,Cmya5
1250,Coro2a
1251,Spsb4
